, XLK ,164.598, 2023-05-30 00:00:00-04:00 ,179.48 , 2023-07-18 00:00:00-04:00 , 14.8816, 9.04114 ,66121.8 ,94.2857 ,70 ,33 ,
, TSLA,193.17 , 2023-05-26 00:00:00-04:00 ,293.34 , 2023-07-18 00:00:00-04:00 ,100.17,51.8559,9.02305e+06 ,94.1176 ,34 ,34 ,
, DOCU, 53.34 , 2023-05-25 00:00:00-04:00 , 59.15 , 2023-06-06 00:00:00-04:00 ,5.81,10.8924, 6525.45,92.3077 ,13 , 7 ,
, ACN ,283.567, 2023-05-24 00:00:00-04:00 ,320.098, 2023-06-15 00:00:00-04:00 , 36.5309,12.8826, 139737 ,95.082,61 ,15 ,
, CRWD,143.9, 2023-05-23 00:00:00-04:00 ,160.13 , 2023-05-31 00:00:00-04:00 , 16.23,11.2787, 9823.45, 100,12 , 5 ,
, NIO ,8.79 , 2023-05-22 00:00:00-04:00 , 15.46 , 2023-08-03 00:00:00-04:00 ,6.67,75.8817, 108830 , 100,14 ,50 ,
, BIPC.TO , 63.2, 2023-05-19 00:00:00-04:00 , 64.21 , 2023-05-23 00:00:00-04:00 ,1.01, 1.5981, 2245.31, 100,10 , 1 ,
, UAL , 45.35 , 2023-05-16 00:00:00-04:00 , 57.61 , 2023-07-21 00:00:00-04:00 , 12.26,27.0342,2.51477e+06 ,94.5455 ,55 ,45 ,
, UPST, 20.26 , 2023-05-15 00:00:00-04:00 , 72.09 , 2023-08-01 00:00:00-04:00 , 51.83, 255.824 ,19401.3 , 100, 8 ,53 ,
, SMCI,136.43 , 2023-05-11 00:00:00-04:00 ,353.29 , 2023-08-07 00:00:00-04:00 ,216.86, 158.953 ,2.01805e+06 ,92.8571 ,42 ,59 ,
, XBI , 87.2628 , 2023-05-10 00:00:00-04:00 , 90.2122 , 2023-06-13 00:00:00-04:00 ,2.94942 , 3.37993 ,73572.1 ,96,50 ,23 ,
, SNOW,163.87 , 2023-05-09 00:00:00-04:00 ,190.98 , 2023-06-15 00:00:00-04:00 , 27.11,16.5436, 3446.89, 100, 6 ,26 ,
, UBER, 38.83 , 2023-05-08 00:00:00-04:00 , 49.46 , 2023-07-31 00:00:00-04:00 , 10.63,27.3757, 4621.51,90.9091 ,11 ,57 ,
, EQIX,715.074, 2023-05-04 00:00:00-04:00 ,735.614, 2023-05-10 00:00:00-04:00 , 20.5402, 2.87246 ,9.22327e+06 ,91.6667 ,60 , 4 ,
, BYD.TO,228.724, 2023-05-03 00:00:00-04:00 ,252.306, 2023-06-06 00:00:00-04:00 , 23.5816,10.31,2.72666e+06 ,91.6667 ,60 ,23 ,
